"title","gmd_name","edition","isbn_issn","publisher_name","publish_year","collation","series_title","call_number","language_name","place_name","classification","notes","image","sor","authors","topics","item_code"
"Famous Places","book","","","","","","","","English","","NONE","","","","<The World>","","<KE884>"
"Things to Do","book","","","","","","","","English","","NONE","","","","<The World>","","<KE883>"
"meri pehli urdu ki kitaab","book","","","","","","","","GUJRATI","","NONE","","","","<CHILDREN PUBLICATION>","","<KE882>"
"my little friuts books","book","","","","","","","","GUJRATI","","NONE","","","","<CHILDREN PUBLICATION>","","<KE881>"
"the berenstain bears search for gold","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE880>"
"the berenstain bears train ride","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE879>"
"the berenstain bears the funny pup","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE878>"
"the berenstain bears the sleepover","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE877>"
"the berenstain bears lets sell it","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE876>"
"the berenstain bears ranch vacation","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE875>"
"the berenstain bears its not a frog","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE874>"
"the berenstain bears the cuty pony","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE873>"
"Going Gogi","book","","","","","","","","Urdu","","NONE","","","","<Nigar Nazar>","","<KU143>"
"the berenstain bears family fun","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE872>"
"Aao Likhain Kahani","book","","","","","","","","Urdu","","NONE","","","","<Civic Sense>","","<KU142>"
"my little animal book","book","","","","","","","","GUJRATI","","NONE","","","","<RBH>","","<KE871>"
"Nobody Wanted to Play","book","","","","","","","","English","","NONE","","","","<RODERICK HUNT>","","<KE870>"
"my colours and shapes board book","book","","","","","","","","English","","NONE","","","","<CHILDREN PUBLICATION>","","<KE869>"
"The Rope Swing","book","","","","","","","","English","","NONE","","","","<RODERICK HUNT>","","<KE868>"
"The Lost Key","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE867>"
"biscuit","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE866>"
"House for Sale","book","","","","","","","","English","","NONE","","","","<RODERICK HUNT>","","<KE865>"
"biscuits tub fun","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE864>"
"biscuit and the cat","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE863>"
"biscuit and the hen","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE862>"
"biscuit and the box","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE861>"
"this is biscuits","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE860>"
"Villains","book","","","","","","","","English","","NONE","","","","","",""
"biscuits trick","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE858>"
"On The Sand","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE857>"
"biscuit and sam","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE856>"
"biscuit and the nest","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE855>"
"A Cat in the Tree","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE854>"
"biscuit and the duck","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE853>"
"biscuit and trhe kittens","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE852>"
"Nursery Rhymes","book","","","","","","","","English","","NONE","","","","<CHILDREN PUBLICATION>","","<KE851>"
"biscuit and the frog","book","","","","","","","","English","","NONE","","","","<PHONICS>","","<KE850>"
"The Berenstain Bears","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE849>"
"the berenstain bears","book","","","","","","","","GUJRATI","","NONE","","","","<PHONICS>","","<KE848>"
"nauehal","book","","","","","","","","English","","NONE","","","","<hamdard>","","<KE847>"
"illustrated encyclopedia","book","","","","","","","","GUJRATI","","NONE","","","","<the grolier>","","<SLT073>"
"look inside cross section space","book","","","","","","","","English","","NONE","","","","<DK PUBLICATIONS>","","<SLT072>"
"My Little abc Board Book","book","","","","","","","","English","","NONE","","","","<CHILDREN PUBLICATION>","","<KE840>"
"HOW TO DRAW Dinosaurs, Ghosts Lettering & Spacecraft","book","","","","","","","","English","","NONE","","","","<USBORNE>","","<KE839>"
"Village in the Snow","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE838>"
"The New House","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE837>"
"COCO The Essential Guide","book","","","","","","","","English","","NONE","","","","<DISNEY>","","<KE836>"
"Kipper and the Giant","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE835>"
"Green Island","book","","","","","","","","English","","NONE","","","","<OXFORD>","","<KE834>"
